SaleDate,ProductCategoryName,Units,UnitOfMeasureName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,CCC Last Updated
5/25/2020,Concentrate,418,Grams,29732.23,0,0,364,29732.23,364,4/24/2023
6/20/2022,Vape Product,15128,Each,809243.95,16885,809243.95,0,0,16885,4/24/2023
1/16/2023,Kief,97,Grams,2165.93,0,0,113.1,2165.93,113.1,4/24/2023
4/11/2021,Infused (non-edible),302,Each,13857.4,364,13857.4,0,0,364,4/24/2023
6/15/2021,Concentrate,3,Milligrams,240,0,0,3000,240,3000,4/24/2023
4/17/2023,Infused Pre-Rolls,6,Milligrams,120,,0,6000,120,6000,4/24/2023
3/21/2023,Shake/Trim (by strain),1263,Grams,50214.17,,0,11354.7,50214.17,11354.7,4/24/2023
1/13/2023,Vape Product,24910,Each,1096063.05,28085,1096063.05,0,0,28085,4/24/2023
6/7/2022,Concentrate (Each),3453,Each,175874.61,3919,175874.61,0,0,3929.1,4/24/2023
12/22/2021,Concentrate (Bulk),7,Grams,700,0,0,15.5,700,15.5,4/24/2023
2/2/2021,Concentrate (Each),2220,Each,126137.64,2465,126137.64,0,0,2465,4/24/2023
3/21/2019,Infused (edible),2389,Each,91004.75,7113,91004.75,0,0,7113,4/24/2023
11/23/2018,Infused (edible),2025,Each,79102.41,3118,79102.41,0,0,3118,4/24/2023
8/24/2022,Vape Product,16998,Each,819404.21,19124,819404.21,0,0,19124,4/24/2023
7/31/2021,Buds,35050,Grams,1932977.06,0,0,140032.43,1932977.06,140032.43,4/24/2023
8/31/2019,Concentrate,131,Grams,8879.15,0,0,138.5,8879.15,138.5,4/24/2023
3/15/2023,Vape Product,20170,Each,838861.09,,838861.09,0,0,22475,4/24/2023
11/26/2021,Buds,12,Pounds,696,0,0,0.12,696,0.12,4/24/2023
11/14/2022,Buds,29930,Grams,1285115.52,0,0,153413.67,1285115.52,153413.67,4/24/2023
5/30/2021,Infused Pre-Rolls,650,Grams,20094.01,0,0,707.86,20094.01,707.86,4/24/2023
3/23/2020,Kief,23,Grams,660,0,0,22,660,22,4/24/2023
7/9/2020,Shake/Trim (by strain),415,Grams,7817.79,0,0,500.5,7817.79,500.5,4/24/2023
9/17/2021,Shake/Trim (by strain),857,Grams,36534.74,0,0,6406.15,36534.74,6406.15,4/24/2023
11/27/2018,Infused (non-edible),61,Each,1971.77,65,1971.77,0,0,65,4/24/2023
4/22/2023,Concentrate (Bulk),27,Grams,885.25,,0,49.5,885.25,49.5,4/24/2023
