RecordNo,ActivitySummaryDate,PlantTrackedCount,PlantBatchCount,StrainActiveCount,PlantImmatureCount,HarvestActiveCount,PlantVegetativeCount,PlantFloweringCount,PlantHarvestedCount,PlantDestroyedCount,EmployeeCount,ProductActiveCount,PackageActiveCount
1442,10/19/2022,433.158940397,5.423841060,76.467539930,256.169536424,3.198675497,144.380132450,288.778807947,3173.433112583,839.817218543,18.893558258,309.689786640,1126.855669512
1443,10/20/2022,431.639735099,5.350993377,76.517032589,257.361589404,3.219867550,142.046357616,289.593377483,3179.249006623,841.556291391,18.902318097,310.401207799,1134.256922231
1444,10/21/2022,434.422368421,5.307894737,76.306023852,250.207894737,3.180263158,140.665789474,293.756578947,3161.871052632,837.339473684,18.901063430,306.916930528,1130.343263764
1445,10/22/2022,432.377631579,5.397368421,76.342271003,251.769736842,3.188157895,140.475,291.902631579,3163.680263158,838.014473684,18.899747640,306.840215757,1128.217133374
1446,10/23/2022,431.709210526,5.419736842,76.350751569,253.55,3.192105263,138.489473684,293.219736842,3164.096052632,838.267105263,18.901161068,306.859501778,1126.605081543
1447,10/24/2022,426.334210526,5.511842105,76.149538985,253.077631579,3.269736842,133.655263158,292.678947368,3174.314473684,839.552631579,18.870866914,305.920019139,1131.834479896
1448,10/25/2022,411.752941176,5.475816993,75.911880717,249.877124183,3.346405229,134.562091503,277.190849673,3170.6,836.852287582,18.858200343,302.008289562,1135.780010166
1449,10/26/2022,410.277922078,5.407792208,75.812638750,246.601298701,3.346753247,135.581818182,274.696103896,3156.009090909,832.7,18.821584434,301.413186351,1137.644295982
1450,10/27/2022,405.038961039,5.462337662,75.888485126,248.677922078,3.396103896,134.253246753,270.785714286,3164.554545455,835.340259740,18.858615921,301.902099290,1144.296307396
1451,10/28/2022,398.510967742,5.329032258,75.691862985,243.929032258,3.420645161,132.447741935,266.063225806,3150.003870968,832.383225806,18.818359498,301.523299034,1140.394067325
1452,10/29/2022,398.24,5.273548387,75.698728221,242.975483871,3.414193548,132.255483871,265.984516129,3150.050322581,833.272258065,18.822895400,301.572304691,1138.701498087
1453,10/30/2022,397.548387097,5.270967742,75.699425085,242.419354839,3.412903226,132.443870968,265.104516129,3151.309677419,833.354838710,18.824289129,301.613696962,1137.248183486
1454,10/31/2022,393.238461538,5.366666667,75.475774761,245.964102564,3.425641026,128.208974359,265.029487179,3135.45,829.380769231,18.754091956,300.471885125,1135.323471194
1455,11/1/2022,388.998717949,5.125641026,75.583074171,238.823076923,3.414102564,126.320512821,262.678205128,3139.778205128,833.505128205,18.750618782,300.634205530,1138.500584224
1456,11/2/2022,387.644871795,5.120512821,75.662770238,236.561538462,3.419230769,129.767948718,257.876923077,3147.438461538,837.584615385,18.761774182,301.277176563,1140.594641156
1457,11/3/2022,384.461538462,5.144871795,76.620413899,236.717948718,3.446153846,127.2,257.261538462,3151.373076923,841.108974359,18.782692482,301.759180388,1144.816487441
1458,11/4/2022,381.973076923,5.097435897,76.597580471,235.873076923,3.447435897,121.808974359,260.164102564,3156.094871795,844.103846154,18.770081549,302.505653082,1151.460547518
1459,11/5/2022,382.325641026,5.05,76.606608249,235.082051282,3.451282051,119.882051282,262.443589744,3156.988461538,844.230769231,18.768246687,302.525295029,1149.027334745
1460,11/6/2022,382.601282051,5.088461538,76.644134223,235.311538462,3.457692308,119.607692308,262.993589744,3157.662820513,844.366666667,18.768941131,302.991710284,1147.894083255
