SaleDate,UnitOfMeasureName,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
8/17/2021,Grams,Shake/Trim (by strain),20594,0,0,2913,20594,2913,452
3/17/2020,Grams,Infused Pre-Rolls,14919.69,0,0,570.75,14919.69,570.75,468
9/15/2021,Grams,Raw Pre-Rolls,557404.48,0,0,37159.19,557404.48,37159.19,26378
4/14/2022,Grams,Kief,4071.77,0,0,180.65,4071.77,180.65,151
11/15/2022,Each,Infused (edible),466469.54,22703,466469.54,0,0,22703,17167
5/24/2023,Grams,Shake/Trim,45798.04,0,0,12929.37,45798.04,12929.37,1204
3/4/2021,Milligrams,Concentrate,395.02,0,0,0,395.02,0,8
6/20/2023,Grams,Concentrate,13559.39,0,0,383.8,13559.39,383.8,238
1/25/2020,Each,Concentrate (Each),224732.93,4186,224732.93,0,0,4186,3750
1/22/2019,Each,Buds,11891.58,994,11891.58,0,0,994,635
1/17/2022,Each,Vape Product,573170.83,10809,573170.83,0,0,10809,9754
1/16/2022,Grams,Shake/Trim (by strain),31047.09,0,0,4492.25,31047.09,4492.25,773
4/4/2021,Each,Infused (non-edible),7722.99,215,7722.99,0,0,215,182
9/12/2022,Grams,Raw Pre-Rolls,564816.11,0,0,48526.65,564816.11,48526.65,31936
1/6/2021,Each,Infused (non-edible),8079.38,247,8079.38,0,0,247,162
7/10/2019,Grams,Kief,610.5,0,0,26,610.5,26,25
7/31/2020,Grams,Concentrate,28999.18,0,0,429.5,28999.18,429.5,432
2/10/2020,Each,Concentrate (Each),141407.32,2486.5,141407.32,0,0,2486.5,2276
5/1/2022,Grams,Buds,1446664.27,0,0,127480.59,1446664.27,127480.59,28766
7/13/2021,Each,Infused (edible),473989.34,19133,473989.34,0,0,19133,15102
1/4/2021,Grams,Shake/Trim,1712.5,0,0,103,1712.5,103,40
1/29/2022,Grams,Buds,160333.59,0,0,12929.55,160333.59,12929.55,2977
9/27/2021,Each,Infused (non-edible),17451.01,471,17451.01,0,0,471,394
1/12/2022,Grams,Kief,3992.03,0,0,147.1,3992.03,147.1,130
