UnitOfMeasureName,SaleDate,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
Grams,7/25/2023,Concentrate,480,0,0,12.5,480,12.5,6
Grams,7/27/2023,Raw Pre-Rolls,1372.8,0,0,117,1372.8,117,94
Grams,7/27/2023,Raw Pre-Rolls,1824.65,0,0,120,1824.65,120,74
Grams,7/28/2023,Raw Pre-Rolls,5098.93,0,0,670.75,5098.93,670.75,498
Grams,7/24/2023,Kief,50,0,0,2,50,2,2
Each,7/26/2023,Infused (edible),384.37,23,384.37,0,0,23,21
Grams,7/29/2023,Infused Pre-Rolls,163,0,0,7.21,163,7.21,6
Each,7/28/2023,Infused (edible),2080.86,127,2080.86,0,0,127,102
Grams,7/24/2023,Kief,27,0,0,1,27,1,1
Each,7/28/2023,Concentrate (Each),1482,51,1482,0,0,51,46
Each,7/29/2023,Concentrate (Each),70,1,70,0,0,1,1
Grams,7/24/2023,Concentrate,481.67,0,0,11,481.67,11,4
Each,7/26/2023,Infused (edible),1394.1,83,1394.1,0,0,83,69
Each,7/30/2023,Vape Product,736.67,26,736.67,0,0,26,23
Each,7/27/2023,Infused (edible),4540.08,222,4540.08,0,0,222,162
Pounds,7/24/2023,Buds,263,0,0,0.16,263,0.16,9
Grams,7/29/2023,Shake/Trim (by strain),771,0,0,182,771,182,12
Each,7/30/2023,Vape Product,750,19,750,0,0,19,16
Grams,7/26/2023,Buds,1261.98,0,0,160.75,1261.98,160.75,48
Grams,7/26/2023,Infused Pre-Rolls,70,0,0,3.3,70,3.3,3
Each,7/25/2023,Infused (edible),208.63,15,208.63,0,0,15,14
Each,7/29/2023,Infused (edible),6740,224,6740,0,0,224,161
Each,7/27/2023,Infused Beverage,84.76,13,84.76,0,0,13,9
Each,7/29/2023,Concentrate (Each),750.5,16,750.5,0,0,16,14
Each,7/30/2023,Vape Product,3218.03,111,3218.03,0,0,111,108
