SaleDate,UnitOfMeasureName,ProductCategoryName,TotalPrice,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,Units
3/1/2020,Grams,Buds,193744.73,0,0,19795.38,193744.73,19795.38,3928
5/21/2023,Each,Vape Product,78179.78,2574,78179.78,0,0,2574,2147
6/14/2019,Each,Raw Pre-Rolls,919.99,90,919.99,0,0,90,74
3/25/2022,Grams,Kief,794.77,0,0,34.5,794.77,34.5,33
6/17/2021,Each,Vape Product,142043.13,3113,142043.13,0,0,3113,2576
11/2/2022,Grams,Concentrate,3639.07,0,0,114.5,3639.07,114.5,93
12/31/2022,Grams,Concentrate (Bulk),204,0,0,5,204,5,5
10/9/2021,Grams,Shake/Trim,3348.16,0,0,713,3348.16,713,31
10/6/2020,Grams,Infused Pre-Rolls,3328.54,0,0,173.5,3328.54,173.5,134
2/1/2020,Grams,Infused Pre-Rolls,2454.93,0,0,131.2,2454.93,131.2,91
5/29/2019,Grams,Infused Pre-Rolls,766.75,0,0,62,766.75,62,17
7/18/2022,Grams,Shake/Trim,501.5,0,0,99.8,501.5,99.8,10
2/8/2023,Each,Infused Beverage,4882.27,743,4882.27,0,0,743,309
4/18/2019,Grams,Buds,127482.89,0,0,11781.8,127482.89,11781.8,2471
7/31/2019,Each,Buds,1034.53,30,1034.53,0,0,30,19
6/11/2019,Grams,Buds,182577.97,0,0,17373.86,182577.97,17373.86,3383
3/15/2019,Each,Buds,1792.01,93,1792.01,0,0,93,72
7/4/2019,Each,Concentrate (Each),75393.54,1730,75393.54,0,0,1730,1443
4/30/2019,Each,Raw Pre-Rolls,112.5,8,112.5,0,0,8,3
3/29/2023,Grams,Raw Pre-Rolls,84764.95,0,0,10531.5,84764.95,10531.5,4957
2/20/2021,Each,Infused (non-edible),7671.21,278,7671.21,0,0,278,208
9/8/2020,Each,Concentrate (Each),59713.81,1398,59713.81,0,0,1398,1042
6/6/2020,Each,Vape Product,128055.94,2619,128055.94,0,0,2619,2131
4/17/2021,Each,Infused Beverage,8904.79,1193,8904.79,0,0,1193,615
7/23/2021,Grams,Shake/Trim (by strain),16094.34,0,0,3491.65,16094.34,3491.65,307
