SaleDate,ProductCategoryName,UnitOfMeasureName,CountBasedTotal,DollarCountBasedTotal,WeightBasedTotal,DollarWeightBasedTotal,Quantity,TotalPrice
10/2/2020,Shake/Trim,Grams,0,0,30,840,30,840
12/2/2022,Infused Pre-Rolls,Milligrams,0,0,650,10.5,650,10.5
10/31/2021,Raw Pre-Rolls,Grams,0,0,7812.7,85483.09,7812.7,85483.09
3/21/2021,Concentrate (Each),Each,1335,59556.1,0,0,1335,59556.1
10/15/2021,Concentrate (Each),Each,2068,86825.74,0,0,2068,86825.74
9/4/2019,Vape Product,Each,6,210,0,0,6,210
11/24/2021,Concentrate (Each),Each,3483,132265.1,0,0,3483,132265.1
1/24/2021,Concentrate (Each),Each,1063,46362.45,0,0,1063,46362.45
9/9/2021,Infused Pre-Rolls,Grams,0,0,127.51,3152.4,127.51,3152.4
4/24/2023,Kief,Grams,0,0,34,574.25,34,574.25
2/4/2019,Concentrate,Each,12,892.79,0,0,12,892.79
2/15/2021,Shake/Trim,Grams,0,0,227,1120.03,227,1120.03
2/8/2022,Vape Product,Each,3322,133777.81,0,0,3322,133777.81
1/22/2020,Raw Pre-Rolls,Grams,0,0,4222.65,46616.18,4222.65,46616.18
12/6/2019,Infused (non-edible),Each,277,9397.47,0,0,277,9397.47
7/1/2020,Concentrate,Grams,0,0,241,12642.5,241,12642.5
8/5/2022,Raw Pre-Rolls,Grams,0,0,13434.15,126824.79,13434.15,126824.79
4/18/2021,Infused Pre-Rolls,Grams,0,0,238.65,5143.83,238.65,5143.83
10/28/2019,Shake/Trim (by strain),Grams,0,0,151.5,1755.89,151.5,1755.89
7/7/2019,Infused (non-edible),Each,254,9639.64,0,0,254,9639.64
6/19/2020,Kief,Grams,0,0,42.5,858.09,42.5,858.09
12/19/2020,Infused Pre-Rolls,Grams,0,0,144.8,3197.99,144.8,3197.99
8/28/2021,Infused (edible),Each,4075,107849.81,0,0,4075,107849.81
3/18/2022,Vape Product,Each,3721,159815.63,0,0,3721,159815.63
10/8/2022,Infused (edible),Each,5090,109024.07,0,0,5090,109024.07
2/9/2021,Kief,Grams,0,0,32,759.67,32,759.67
8/29/2022,Immature Plants,Each,1,20,0,0,1,20
7/18/2020,Shake/Trim (by strain),Grams,0,0,129,1488.02,129,1488.02
8/10/2020,Infused (non-edible),Each,202,5646.91,0,0,202,5646.91
9/3/2023,Shake/Trim,Grams,0,0,208,672.25,208,672.25
7/28/2023,Concentrate,Grams,0,0,70,1959.26,70,1959.26
4/7/2023,Buds,Grams,0,0,60181.8,361346.1,60181.8,361346.1
7/6/2020,Buds,Grams,0,0,32983.05,357900.94,32983.05,357900.94
