SALE_PERIOD,TOTAL_$,PRODUCT_CATEGORY,UNIT_OF_MEASURE,TOTAL_UNITS,CCC Last Updated,CountBasedTotal,DollarCountBasedTotal,DollarWeightBasedTotal,Quantity,WeightBasedTotal
2023-04-19,1571.01,Raw Pre-Rolls,Grams,134,4/24/2023,,0,1571.01,165.3,165.3
2018-11-20 -2023-04-16,1274600.65,Infused (non-edible),Each,23332,4/24/2023,24929,1274600.65,0,24954,0
2023-04-19,8660,Buds,Grams,275,4/24/2023,,0,8660,2121,2121
2023-04-21,278,Concentrate (Each),Each,7,4/24/2023,,278,0,7,0
2023-04-20,4304.11,Raw Pre-Rolls,Grams,310,4/24/2023,,0,4304.11,430,430
2023-04-19,351,Infused Pre-Rolls,Grams,21,4/24/2023,,0,351,35.55,35.55
2023-04-18,24,Infused Beverage,Each,1,4/24/2023,,24,0,1,0
2023-04-19,1283,Infused (edible),Each,44,4/24/2023,,1283,0,53,0
2023-04-20,7106.14,Raw Pre-Rolls,Grams,810,4/24/2023,,0,7106.14,1136.5,1136.5
2023-04-18,50,Shake/Trim,Grams,1,4/24/2023,,0,50,7,7
2023-04-19,86.68,Infused Pre-Rolls,Grams,9,4/24/2023,,0,86.68,6.75,6.75
2023-04-20,1820.4,Infused Pre-Rolls,Grams,66,4/24/2023,,0,1820.4,88.1,88.1
2023-04-19,1068.3,Concentrate (Each),Each,24,4/24/2023,,1068.3,0,25,0
2018-11-20 -2023-04-16,11362,Concentrate,Grams,125,4/24/2023,0,0,11362,132,132
2023-04-20,30,Shake/Trim,Grams,1,4/24/2023,,0,30,7,7
2023-04-21,2174.65,Vape Product,Each,51,4/24/2023,,2174.65,0,57,0
2023-04-17,6297,Buds,Grams,115,4/24/2023,,0,6297,1189.5,1189.5
2023-04-21,206.66,Vape Product,Each,6,4/24/2023,,206.66,0,7,0
2023-04-18,1139,Concentrate (Each),Each,21,4/24/2023,,1139,0,21,0
2023-04-21,220,Infused Pre-Rolls,Grams,4,4/24/2023,,0,220,14,14
2018-11-20 -2023-04-16,509.91,Infused Beverage,Each,18,4/24/2023,20,509.91,0,20,0
2023-04-18,3475.47,Buds,Grams,86,4/24/2023,,0,3475.47,430,430
2018-11-20 -2023-04-16,1238567.58,Raw Pre-Rolls,Grams,72269,4/24/2023,0,0,1238567.58,89764.3,89764.3
2018-11-20 -2023-04-16,96561.9,Infused (edible),Each,4580,4/24/2023,3284,96561.9,0,5435,0
2023-04-17,4802.2,Infused (edible),Each,164,4/24/2023,,4802.2,0,210,0
2018-11-20 -2023-04-16,83324.71,Infused Beverage,Each,6132,4/24/2023,12638,83324.71,0,13170,0
2023-04-23,1489,Raw Pre-Rolls,Grams,71,4/24/2023,,0,1489,155.25,155.25
2023-04-22,56.25,Infused Pre-Rolls,Grams,2,4/24/2023,,0,56.25,3,3
2023-04-19,395,Shake/Trim,Grams,8,4/24/2023,,0,395,77,77
2023-04-20,268,Infused (edible),Each,11,4/24/2023,,268,0,16,0
2023-04-20,811.37,Infused Pre-Rolls,Grams,24,4/24/2023,,0,811.37,33.5,33.5
2023-04-20,1652.07,Infused (edible),Each,97,4/24/2023,,1652.07,0,137,0
2023-04-19,661.46,Infused Beverage,Each,23,4/24/2023,,661.46,0,52,0
2023-04-21,804,Infused (edible),Each,31,4/24/2023,,804,0,37,0
